SHRWHT0,SHRBLK0,SHRHSP0,ADULT0,CHILD0,OLD0,WRKSM0,WORKER30,POVRAT0,WELFARE0,AVWELIN0,AVSSI0,MDFAMY0,AVSOCS0,AVRETR0,SHRAMI0,SHRASN0,SHRHIP0,NONFAM0P,WNONFAM0P,COMMUT20NWKH,WMEMP0P,WFEMP0P,VACHU0P,RNTOCC0P,Gentrified
0.747333,0.014444,0.281333,0.739556,0.260444,0.088,0.97664,150,0.131091,0.095907,7300,8338.709677,48221,10574.137931,7473.333333,0.013777777777777778,0.09266666666666666,2.2222222222222223e-4,0.3396456933414783,0.2840562003665241,0.47713717693836977,0.6360031720856463,0.5398230088495575,0.025763930497303775,0.481725584182145,0
0.843478,0.004348,0.147826,0.773913,0.224638,0.113043,0.977918,20,0.039039,0.083004,7621.333333,8648.625,61714,11733.62069,33019.166667,0,0.08260869565217391,0.002898550724637681,0.2727272727272727,0.2608695652173913,0.3753943217665615,0.7021276595744681,0.5265486725663717,0.02702702702702703,0.138996138996139,0
0.635742,0.070749,0.407809,0.69748,0.30252,0.047055,0.974822,158,0.262712,0.182216,5999.466667,8650.819672,33094,9192.349727,7755.844156,0.010512264308359753,0.06791256465876856,0.0015017520440513933,0.29591836734693877,0.24052478134110788,0.4477549307595468,0.624441132637854,0.5103550295857988,0.03592814371257485,0.8516812528788577,0
0.674621,0.017736,0.408255,0.729765,0.270235,0.068688,0.97547,48,0.204979,0.162828,5272.195122,7951.666667,32121,10376.126126,7578.4,0.0032247662044501773,0.04579168010319252,0.005482102547565301,0.48212867355043687,0.42096902303415407,0.49304987735077677,0.6568758344459279,0.49132176234979974,0.04605776736924278,0.5925058548009368,1
0.867239,0.009339,0.090611,0.792277,0.207219,0.164816,0.981838,165,0.034881,0.071477,9707.235849,10994.95,67293,13909.019022,25312.25188,0.002523977788995457,0.08430085815244825,0.0020191822311963654,0.2521915037086986,0.22589345920431558,0.4668803418803419,0.6194423511680482,0.521044992743106,0.024967148488830485,0.14388961892247043,0
0.827174,0.011167,0.178676,0.76921,0.23079,0.125764,0.95082,117,0.034036,0.031915,6657.866667,7189.25,54875,11066.473881,17671.253807,0.018612071257644244,0.06700345652751928,5.317734645041213e-4,0.3262411347517731,0.31631205673758866,0.4375353306953081,0.6766666666666666,0.5435333896872359,0.039889958734525444,0.25653370013755156,0
0.717493,0.016838,0.336763,0.785781,0.213751,0.121609,0.973985,86,0.089817,0.07327,5417.685185,6728.766667,67736,12765.579787,16120.107438,0.001403180542563143,0.11599625818521983,9.354536950420954e-4,0.2835820895522388,0.23609226594301222,0.5234131113423517,0.603448275862069,0.47651006711409394,0.017264276228419653,0.2151394422310757,0
0.727547,0.017091,0.318029,0.791555,0.20811,0.12567,0.974151,119,0.084337,0.071977,5348.906667,6504.325581,69186,12851.881041,16207.178161,0.0010053619302949062,0.11829758713136729,0.0010053619302949062,0.28598848368522073,0.2399232245681382,0.5221565731166913,0.6041162227602905,0.4782608695652174,0.016917293233082706,0.20488721804511278,1
0.735462,0.017104,0.304447,0.795895,0.204105,0.127708,0.975062,35,0.080891,0.071197,5310.681818,6829.083333,70100,12971.975,16315.480769,0.0011402508551881414,0.11972633979475485,0.0011402508551881414,0.284789644012945,0.24271844660194175,0.5211970074812967,0.6016260162601627,0.4782608695652174,0.015873015873015872,0.19682539682539682,0
0.767106,0.020073,0.300453,0.749622,0.249946,0.129074,0.965167,126,0.144497,0.096535,6217.371795,6065.193548,51790,11286.822857,15135.662551,0.010576300453270019,0.06777466004748543,2.158428663932657e-4,0.31064356435643564,0.2716584158415842,0.46927914852443153,0.6481051817478731,0.5262793914246197,0.03119376124775045,0.33413317336532694,0
