AREAKEY,SHR0D,SHRWHT0,SHRBLK0,SHRAMI0N,SHRASN0N,SHRHIP0N,SHRHSP0,ADULT0,CHILD0,OLD0,NUMHHS0,NONFAM0,WNONFAM0,WRCNTY0D,WRKSM0,WKHOME0,COMMUT20,WM16P0,WMEMP0,WF16P0,WFEMP0,WORKER30,POVRAT0,WELFARE0,AVWELIN0,AVSSI0,MDFAMY0,AVSOCS0,AVRETR0,TOTHSUN0,VACHU0,RNTOCC0
06059001801,5126,0.513071,0.066524,128,857,11,0.470152,0.656847,0.343153,0.055014,1507,309,221,1979,0.751895,0,1100,855,567,884,449,159,0.159406,0.130060,6205.571429,6820.240000,40291,9587.427984,8567.339806,1566,40,1110
06059001802,7400,0.568378,0.038243,68,666,66,0.517432,0.656757,0.343243,0.063243,2103,478,381,2823,0.831739,32,1634,1437,891,1447,680,202,0.166253,0.118402,7851.807229,9862.500000,39441,10634.402332,7991.463415,2142,40,1356
06059001901,2703,0.683315,0.025897,8,328,10,0.372179,0.700333,0.299667,0.115797,794,139,117,1101,0.780200,45,641,669,435,688,334,167,0.017433,0.117128,6825.806452,7637.837838,58344,11625.438596,11955.633803,801,8,178
06059001902,2927,0.695251,0.025965,28,413,1,0.323881,0.719166,0.280834,0.104202,797,161,140,1200,0.886667,30,686,756,410,742,363,113,0.158545,0.109159,8531.034483,9411.940299,50400,12124.786325,12031.976744,811,13,229
06059001903,2805,0.612834,0.015330,15,525,2,0.360071,0.721569,0.278431,0.113012,880,196,178,1068,0.725655,58,527,638,378,645,321,106,0.181459,0.105682,6617.623656,6672.701754,42850,10942.403361,31531.487013,889,19,262
06059011000,6509,0.738209,0.015363,25,838,21,0.247350,0.742203,0.257643,0.115532,2403,810,607,2732,0.759151,53,1515,1754,1219,1913,931,224,0.110701,0.083645,3551.865672,5413.912500,59071,11061.197917,18694.890585,2502,101,907
06059011101,3892,0.642343,0.020812,63,323,8,0.425488,0.708633,0.291110,0.094810,1256,311,249,1700,0.796471,74,1015,958,685,839,446,146,0.134007,0.125796,7456.601266,7587.534247,48500,11805.970339,12062.881081,1272,25,561
06059011102,4421,0.552138,0.024881,38,642,0,0.488803,0.703235,0.296539,0.088668,1135,181,147,1886,0.768293,20,963,913,598,827,496,248,0.077555,0.096916,6250.745455,6528.644068,56691,12332.646512,13363.596774,1147,11,255
06059011200,3994,0.774662,0.012018,28,277,3,0.270906,0.773911,0.226340,0.163746,1596,668,578,1945,0.777892,94,1129,1157,851,1253,710,129,0.095142,0.091479,6587.013699,7256.991071,55614,10134.437647,12327.052863,1629,47,732
06059011300,3744,0.810897,0.037126,29,168,6,0.207265,0.823451,0.176549,0.143964,1572,826,707,2041,0.806467,36,1149,1296,905,1235,726,104,0.086654,0.084606,6952.684211,8903.438202,61023,13149.196023,26886.620690,1618,43,1012
06059011401,2103,0.826438,0.019020,6,146,5,0.197813,0.772230,0.227770,0.170709,816,208,188,1003,0.774676,18,584,649,379,766,455,40,0.058157,0.036765,4486.833333,9450.615385,74934,14178.602620,28647.668269,780,11,286
06059011402,2311,0.901774,0.004327,0,131,21,0.082648,0.733016,0.266984,0.185201,823,219,202,1006,0.709742,45,582,752,511,785,389,70,0.014091,0.058323,5554.166667,7803.030303,90900,13604.458599,21782.828283,874,24,69
06059011403,5659,0.668316,0.022442,72,305,3,0.449373,0.735996,0.264004,0.121930,1899,622,538,2611,0.831865,40,1471,1412,1041,1527,767,164,0.124887,0.068457,4667.769231,4922.352273,45165,11184.073684,9298.900000,1921,37,1113
06059011502,4007,0.610681,0.042176,25,483,35,0.398802,0.737210,0.262790,0.094584,1446,532,431,1835,0.831608,33,1017,969,684,957,533,123,0.144667,0.090595,6158.015267,6569.230769,42583,10841.724138,14691.005291,1474,24,886
06059011503,1750,0.862286,0.014857,0,175,40,0.024571,0.768000,0.232000,0.154857,610,118,118,889,0.793026,18,521,587,422,663,379,64,0.074941,0.044262,4559.148148,4799.888889,79709,12657.441558,16856.960396,568,0,27
